"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 04:16:45 GMT 2024","Mon Feb 19 04:16:52 GMT 2024","6988","","Wiki search features","","Wikipedia Search Functionality Header Verification","","Wikipedia Search Functionality Header Verification",""
"passed","Mon Feb 19 04:16:45 GMT 2024","Mon Feb 19 04:16:52 GMT 2024","6836","","Wiki search features","","Wikipedia Search Functionality Title Verification","","Wikipedia Search Functionality Title Verification",""
"failed","Mon Feb 19 04:16:52 GMT 2024","Mon Feb 19 04:16:57 GMT 2024","4332","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
"passed","Mon Feb 19 04:16:45 GMT 2024","Mon Feb 19 04:16:52 GMT 2024","6983","","Wiki search features","","Wikipedia Search Functionality Image Header Verification","","Wikipedia Search Functionality Image Header Verification",""
"passed","Mon Feb 19 04:16:52 GMT 2024","Mon Feb 19 04:16:56 GMT 2024","3673","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
"passed","Mon Feb 19 04:16:52 GMT 2024","Mon Feb 19 04:16:56 GMT 2024","3592","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
"passed","Mon Feb 19 04:16:45 GMT 2024","Mon Feb 19 04:16:52 GMT 2024","7026","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
