"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 09:09:35 GMT 2024","Mon Feb 19 09:09:42 GMT 2024","6478","","Wiki search features","","Wikipedia Search Functionality Image Header Verification","","Wikipedia Search Functionality Image Header Verification",""
"passed","Mon Feb 19 09:09:35 GMT 2024","Mon Feb 19 09:09:42 GMT 2024","6527","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
"passed","Mon Feb 19 09:09:42 GMT 2024","Mon Feb 19 09:09:45 GMT 2024","3559","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
"failed","Mon Feb 19 09:09:42 GMT 2024","Mon Feb 19 09:09:46 GMT 2024","4222","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
"passed","Mon Feb 19 09:09:35 GMT 2024","Mon Feb 19 09:09:42 GMT 2024","6497","","Wiki search features","","Wikipedia Search Functionality Header Verification","","Wikipedia Search Functionality Header Verification",""
"passed","Mon Feb 19 09:09:42 GMT 2024","Mon Feb 19 09:09:45 GMT 2024","3656","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
"passed","Mon Feb 19 09:09:35 GMT 2024","Mon Feb 19 09:09:42 GMT 2024","6240","","Wiki search features","","Wikipedia Search Functionality Title Verification","","Wikipedia Search Functionality Title Verification",""
