"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 04:23:07 GMT 2024","Mon Feb 19 04:23:13 GMT 2024","6133","","Wiki search features","","Wikipedia Search Functionality Header Verification","","Wikipedia Search Functionality Header Verification",""
"passed","Mon Feb 19 04:23:13 GMT 2024","Mon Feb 19 04:23:16 GMT 2024","3682","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
"passed","Mon Feb 19 04:23:13 GMT 2024","Mon Feb 19 04:23:17 GMT 2024","3732","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
"passed","Mon Feb 19 04:23:07 GMT 2024","Mon Feb 19 04:23:13 GMT 2024","6181","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
"passed","Mon Feb 19 04:23:07 GMT 2024","Mon Feb 19 04:23:13 GMT 2024","6001","","Wiki search features","","Wikipedia Search Functionality Title Verification","","Wikipedia Search Functionality Title Verification",""
"passed","Mon Feb 19 04:23:07 GMT 2024","Mon Feb 19 04:23:13 GMT 2024","6122","","Wiki search features","","Wikipedia Search Functionality Image Header Verification","","Wikipedia Search Functionality Image Header Verification",""
"failed","Mon Feb 19 04:23:13 GMT 2024","Mon Feb 19 04:23:17 GMT 2024","4364","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline",""
